id,algorithm,hash,digest,signature,e,p,n,duration,return_code
320,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.092996638,0000
321,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.088984800,0000
322,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.088998748,0000
323,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090028472,0000
324,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090971561,0000
325,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089926977,0000
326,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.091070849,0000
327,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089998934,0000
328,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089014976,0000
329,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089984616,0000
330,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090001265,0000
331,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090027572,0000
332,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090987278,0000
333,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.088999211,0000
334,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090973652,0000
335,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089009902,0000
336,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.091014516,0000
337,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.092997129,0000
338,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089999476,0000
339,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089999551,0000
340,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.088998143,0000
341,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090002739,0000
342,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089994714,0000
343,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.090982204,0000
344,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.091029897,0000
345,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089984236,0000
346,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.091000885,0000
347,0014,000b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,99b0828f70dfb219f327fd9b7a05fba9eba57b87c845e3e563459eef947f02c1fcefabe6a91f8dd8da0ce2f1fb773d6b9ca9e6ca3fdb2d80d2786c7abb6db07f71c18fd886581ded8b001b41d6052683f78ae71b5236405dc8fd7cb9dd28d4ced51912bc8e7774085f9ef5177346748546d7f0379f751a067e5a8db82a6189d9,010001,f667ff8f9dfbd272daf04f79fc99a61d3bf8b8c54e690111233033326def5c4d0782bb0e08b5c696d771d42d093c4ce381f84010814406dc359a92235b875447,d04765e4400be09b8fb0bb974afd0afc607f15a05fa0ad705f8e4c30317f02ca9acd45866057e527d522caf2ee3c664feccbe34c85e1330999ab9b366d92f3ddd5eee46dc30443c3766d1810b649afe7c649a6e2b0cb8e7e73d23349248137bbfb86fefa1bf79450038a83a2ae40077de60e0a714ffc2892fdca3f240e5dfd7b,0.089004851,0000
